availability,category,description,num_reviews,price,price_excl_tax,price_incl_tax,product_type,stars,tax,title,upc,url
19,travel,,0,45.17,45.17,45.17,books,0,0.0,It's Only the Himalayas,a22124811bfa8350,https://books.toscrape.com/catalogue/its-only-the-himalayas_981/index.html
19,default,,0,22.5,22.5,22.5,books,0,0.0,America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,c7d160c2c0de586f,https://books.toscrape.com/catalogue/americas-cradle-of-quarterbacks-western-pennsylvanias-football-factory-from-johnny-unitas-to-joe-montana_974/index.html
18,spirituality,,0,17.66,17.66,17.66,books,0,0.0,The Four Agreements: A Practical Guide to Personal Freedom,6258a1f6a6dcfe50,https://books.toscrape.com/catalogue/the-four-agreements-a-practical-guide-to-personal-freedom_970/index.html
18,art,,0,44.18,44.18,44.18,books,0,0.0,Wall and Piece,ccd9ffa25efabdea,https://books.toscrape.com/catalogue/wall-and-piece_971/index.html
18,childrens,,0,36.89,36.89,36.89,books,0,0.0,The Bear and the Piano,9f6568e9c95f60b0,https://books.toscrape.com/catalogue/the-bear-and-the-piano_967/index.html
18,thriller,,0,23.82,23.82,23.82,books,0,0.0,The Elephant Tree,5dada2b7be26bd03,https://books.toscrape.com/catalogue/the-elephant-tree_968/index.html
18,nonfiction,,0,31.05,31.05,31.05,books,0,0.0,The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,3c039985229453bf,https://books.toscrape.com/catalogue/the-five-love-languages-how-to-express-heartfelt-commitment-to-your-mate_969/index.html
19,default,,0,53.13,53.13,53.13,books,0,0.0,Aladdin and His Wonderful Lamp,904208d6aa64b655,https://books.toscrape.com/catalogue/aladdin-and-his-wonderful-lamp_973/index.html
19,childrens,,0,54.64,54.64,54.64,books,0,0.0,Birdsong: A Story in Pictures,9528d0948525bf5f,https://books.toscrape.com/catalogue/birdsong-a-story-in-pictures_975/index.html
18,nonfiction,,0,40.3,40.3,40.3,books,0,0.0,Worlds Elsewhere: Journeys Around Shakespeare’s Globe,4c28def39d850cdf,https://books.toscrape.com/catalogue/worlds-elsewhere-journeys-around-shakespeares-globe_972/index.html
19,romance,,0,34.53,34.53,34.53,books,0,0.0,Black Dust,00bfed9e18bb36f3,https://books.toscrape.com/catalogue/black-dust_976/index.html
19,romance,,0,25.27,25.27,25.27,books,0,0.0,Chase Me (Paris Nights #2),c2e46a2ee3b4a322,https://books.toscrape.com/catalogue/chase-me-paris-nights-2_977/index.html
19,food and drink,,0,30.52,30.52,30.52,books,0,0.0,"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",5674a18a29a43ced,https://books.toscrape.com/catalogue/foolproof-preserving-a-guide-to-small-batch-jams-jellies-pickles-condiments-and-more-a-foolproof-guide-to-making-small-batch-jams-jellies-pickles-condiments-and-more_978/index.html
19,music,,0,37.32,37.32,37.32,books,0,0.0,How Music Works,327f68a59745c102,https://books.toscrape.com/catalogue/how-music-works_979/index.html
19,thriller,,0,12.84,12.84,12.84,books,0,0.0,In Her Wake,23356462d1320d61,https://books.toscrape.com/catalogue/in-her-wake_980/index.html
17,poetry,,0,33.63,33.63,33.63,books,0,0.0,You can't bury them all: Poems,55f9da0c5eea2e10,https://books.toscrape.com/catalogue/you-cant-bury-them-all-poems_961/index.html
18,thriller,,0,52.22,52.22,52.22,books,0,0.0,Behind Closed Doors,be5cc846f45496fb,https://books.toscrape.com/catalogue/behind-closed-doors_962/index.html
18,mystery,,0,19.63,19.63,19.63,books,0,0.0,"In a Dark, Dark Wood",19ed25f4641d5efd,https://books.toscrape.com/catalogue/in-a-dark-dark-wood_963/index.html
18,default,,0,18.02,18.02,18.02,books,0,0.0,Maude (1883-1993):She Grew Up with the country,094b269567e1c300,https://books.toscrape.com/catalogue/maude-1883-1993she-grew-up-with-the-country_964/index.html
18,default,,0,33.29,33.29,33.29,books,0,0.0,Penny Maybe,668fe56b17cfcd4f,https://books.toscrape.com/catalogue/penny-maybe_965/index.html
18,philosophy,,0,15.94,15.94,15.94,books,0,0.0,Sophie's World,6be3beb0793a53e7,https://books.toscrape.com/catalogue/sophies-world_966/index.html
16,sequential art,,0,16.28,16.28,16.28,books,0,0.0,Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),09555be379ad9253,https://books.toscrape.com/catalogue/tsubasa-world-chronicle-2-tsubasa-world-chronicle-2_949/index.html
16,history,,0,25.52,25.52,25.52,books,0,0.0,"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",9a9d6e9bc555731e,https://books.toscrape.com/catalogue/unbound-how-eight-technologies-made-us-human-transformed-society-and-brought-our-world-to-the-brink_950/index.html
16,fantasy,,0,18.78,18.78,18.78,books,0,0.0,Unicorn Tracks,7ae099f3898e0209,https://books.toscrape.com/catalogue/unicorn-tracks_951/index.html
16,fiction,,0,50.27,50.27,50.27,books,0,0.0,"We Love You, Charlie Freeman",8d455c7539795d2a,https://books.toscrape.com/catalogue/we-love-you-charlie-freeman_954/index.html
16,contemporary,,0,31.77,31.77,31.77,books,0,0.0,When We Collided,3ecb690d1542c568,https://books.toscrape.com/catalogue/when-we-collided_955/index.html
16,new adult,,0,45.07,45.07,45.07,books,0,0.0,Without Borders (Wanderlove #1),acddfeab2a407640,https://books.toscrape.com/catalogue/without-borders-wanderlove-1_956/index.html
17,nonfiction,,0,23.11,23.11,23.11,books,0,0.0,#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,c27f6e1f185b0383,https://books.toscrape.com/catalogue/higherselfie-wake-up-your-life-free-your-soul-find-your-tribe_957/index.html
17,fiction,,0,47.61,47.61,47.61,books,0,0.0,Private Paris (Private #10),b12b89017878a60d,https://books.toscrape.com/catalogue/private-paris-private-10_958/index.html
17,nonfiction,,0,26.41,26.41,26.41,books,0,0.0,Reasons to Stay Alive,c8f7f0cb1abb9cac,https://books.toscrape.com/catalogue/reasons-to-stay-alive_959/index.html
17,poetry,,0,57.31,57.31,57.31,books,0,0.0,Slow States of Collapse: Poems,b4fd5943413e089a,https://books.toscrape.com/catalogue/slow-states-of-collapse-poems_960/index.html
16,young adult,,0,45.22,45.22,45.22,books,0,0.0,The Natural History of Us (The Fine Art of Pretending #2),cedf82b5086e4691,https://books.toscrape.com/catalogue/the-natural-history-of-us-the-fine-art-of-pretending-2_941/index.html
16,nonfiction,,0,44.18,44.18,44.18,books,0,0.0,"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",d170b5a0da46380e,https://books.toscrape.com/catalogue/unseen-city-the-majesty-of-pigeons-the-discreet-charm-of-snails-other-wonders-of-the-urban-wilderness_952/index.html
16,mystery,,0,56.5,56.5,56.5,books,0,0.0,The Past Never Ends,5ee94540d0749ea0,https://books.toscrape.com/catalogue/the-past-never-ends_942/index.html
16,food and drink,,0,56.41,56.41,56.41,books,0,0.0,"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",142d767a56a9254d,https://books.toscrape.com/catalogue/the-pioneer-woman-cooks-dinnertime-comfort-classics-freezer-food-16-minute-meals-and-other-delicious-ways-to-solve-supper_943/index.html
16,childrens,,0,56.13,56.13,56.13,books,0,0.0,The Secret of Dreadwillow Carse,b5ea0b5dabed25a8,https://books.toscrape.com/catalogue/the-secret-of-dreadwillow-carse_944/index.html
16,add a comment,,0,19.09,19.09,19.09,books,0,0.0,The Torch Is Passed: A Harding Family Story,4eed62cf5f8d8edf,https://books.toscrape.com/catalogue/the-torch-is-passed-a-harding-family-story_945/index.html
16,nonfiction,,0,56.06,56.06,56.06,books,0,0.0,The Electric Pencil: Drawings from Inside State Hospital No. 3,a30b270e25489e5c,https://books.toscrape.com/catalogue/the-electric-pencil-drawings-from-inside-state-hospital-no-3_933/index.html
16,nonfiction,,0,37.13,37.13,37.13,books,0,0.0,The Gutsy Girl: Escapades for Your Life of Epic Adventure,acd86a5426e21ca0,https://books.toscrape.com/catalogue/the-gutsy-girl-escapades-for-your-life-of-epic-adventure_934/index.html
16,default,,0,20.59,20.59,20.59,books,0,0.0,"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",8c9e6bf2467d740d,https://books.toscrape.com/catalogue/the-inefficiency-assassin-time-management-tactics-for-working-smarter-not-longer_935/index.html
16,nonfiction,,0,16.77,16.77,16.77,books,0,0.0,The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,0da9aa9d24677fc0,https://books.toscrape.com/catalogue/the-life-changing-magic-of-tidying-up-the-japanese-art-of-decluttering-and-organizing_936/index.html
16,add a comment,,0,23.89,23.89,23.89,books,0,0.0,"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",31075275518532d7,https://books.toscrape.com/catalogue/the-mindfulness-and-acceptance-workbook-for-anxiety-a-guide-to-breaking-free-from-anxiety-phobias-and-worry-using-acceptance-and-commitment-therapy_937/index.html
16,science,,0,42.96,42.96,42.96,books,0,0.0,The Most Perfect Thing: Inside (and Outside) a Bird's Egg,aadee1c326d286e3,https://books.toscrape.com/catalogue/the-most-perfect-thing-inside-and-outside-a-birds-egg_938/index.html
16,fiction,,0,54.11,54.11,54.11,books,0,0.0,The Murder That Never Was (Forensic Instincts #5),d01ac97e2b8947c2,https://books.toscrape.com/catalogue/the-murder-that-never-was-forensic-instincts-5_939/index.html
16,sequential art,,0,19.49,19.49,19.49,books,0,0.0,This One Summer,51653ef291ab7ddc,https://books.toscrape.com/catalogue/this-one-summer_947/index.html
16,poetry,,0,14.27,14.27,14.27,books,0,0.0,Untitled Collection: Sabbath Poems 2014,657fe5ead67a7767,https://books.toscrape.com/catalogue/untitled-collection-sabbath-poems-2014_953/index.html
16,nonfiction,,0,31.12,31.12,31.12,books,0,0.0,Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,7858914fad68493c,https://books.toscrape.com/catalogue/throwing-rocks-at-the-google-bus-how-growth-became-the-enemy-of-prosperity_948/index.html
16,sequential art,,0,38.16,38.16,38.16,books,0,0.0,The Nameless City (The Nameless City #1),7d385d34d12e60ff,https://books.toscrape.com/catalogue/the-nameless-city-the-nameless-city-1_940/index.html
16,fiction,,0,17.27,17.27,17.27,books,0,0.0,Thirst,709822d0b5bcb7f4,https://books.toscrape.com/catalogue/thirst_946/index.html
16,sequential art,,0,50.4,50.4,50.4,books,0,0.0,"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",c82a3e358c773c73,https://books.toscrape.com/catalogue/rat-queens-vol-3-demons-rat-queens-collected-editions-11-15_921/index.html
16,nonfiction,,0,19.83,19.83,19.83,books,0,0.0,Reskilling America: Learning to Labor in the Twenty-First Century,d7310206583a54b6,https://books.toscrape.com/catalogue/reskilling-america-learning-to-labor-in-the-twenty-first-century_922/index.html
16,default,,0,39.58,39.58,39.58,books,0,0.0,Soul Reader,e6af5bf1163c1151,https://books.toscrape.com/catalogue/soul-reader_926/index.html
16,fantasy,,0,25.02,25.02,25.02,books,0,0.0,"Saga, Volume 6 (Saga (Collected Editions) #6)",c849f0b2f5d6a742,https://books.toscrape.com/catalogue/saga-volume-6-saga-collected-editions-6_924/index.html
16,spirituality,,0,32.24,32.24,32.24,books,0,0.0,The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,7d6d2a6c0276f81b,https://books.toscrape.com/catalogue/the-activists-tao-te-ching-ancient-advice-for-a-modern-revolution_928/index.html
16,history,,0,19.73,19.73,19.73,books,0,0.0,The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,a3d2a4250807f1e9,https://books.toscrape.com/catalogue/the-age-of-genius-the-seventeenth-century-and-the-birth-of-the-modern-mind_929/index.html
16,add a comment,,0,40.76,40.76,40.76,books,0,0.0,The Art Forger,80cfab6bcff3a244,https://books.toscrape.com/catalogue/the-art-forger_930/index.html
16,sequential art,,0,51.04,51.04,51.04,books,0,0.0,"Saga, Volume 5 (Saga (Collected Editions) #5)",53a3d11bb568cc8b,https://books.toscrape.com/catalogue/saga-volume-5-saga-collected-editions-5_923/index.html
16,health,,0,49.05,49.05,49.05,books,0,0.0,"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",43c6a960757cf559,https://books.toscrape.com/catalogue/the-bulletproof-diet-lose-up-to-a-pound-a-day-reclaim-energy-and-focus-upgrade-your-life_931/index.html
16,nonfiction,,0,41.83,41.83,41.83,books,0,0.0,Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,87b0615b6e1f4d7b,https://books.toscrape.com/catalogue/spark-joy-an-illustrated-master-class-on-the-art-of-organizing-and-tidying-up_927/index.html
16,add a comment,,0,14.07,14.07,14.07,books,0,0.0,On a Midnight Clear,b757c0c361e689ce,https://books.toscrape.com/catalogue/on-a-midnight-clear_912/index.html
16,self help,,0,46.35,46.35,46.35,books,0,0.0,Online Marketing for Busy Authors: A Step-By-Step Guide,9ffa38d3b832433a,https://books.toscrape.com/catalogue/online-marketing-for-busy-authors-a-step-by-step-guide_913/index.html
16,sequential art,,0,48.41,48.41,48.41,books,0,0.0,orange: The Complete Collection 1 (orange: The Complete Collection #1),11809b1d323b3057,https://books.toscrape.com/catalogue/orange-the-complete-collection-1-orange-the-complete-collection-1_914/index.html
16,horror,,0,39.25,39.25,39.25,books,0,0.0,Security,6f78a0d744c35456,https://books.toscrape.com/catalogue/security_925/index.html
16,sequential art,,0,10.16,10.16,10.16,books,0,0.0,Patience,9429b4d59c537af5,https://books.toscrape.com/catalogue/patience_916/index.html
16,philosophy,,0,58.11,58.11,58.11,books,0,0.0,The Death of Humanity: and the Case for Life,bd261725b99f5983,https://books.toscrape.com/catalogue/the-death-of-humanity-and-the-case-for-life_932/index.html
16,sequential art,,0,18.97,18.97,18.97,books,0,0.0,"Pop Gun War, Volume 1: Gift",e80f8e518b300dfe,https://books.toscrape.com/catalogue/pop-gun-war-volume-1-gift_918/index.html
16,sequential art,,0,15.44,15.44,15.44,books,0,0.0,"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",889139b8e9c4cb36,https://books.toscrape.com/catalogue/outcast-vol-1-a-darkness-surrounds-him-outcast-1_915/index.html
16,nonfiction,,0,22.0,22.0,22.0,books,0,0.0,In the Country We Love: My Family Divided,b136b1b180ca753a,https://books.toscrape.com/catalogue/in-the-country-we-love-my-family-divided_901/index.html
16,add a comment,,0,53.9,53.9,53.9,books,0,0.0,Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),228f74b74f3a08ae,https://books.toscrape.com/catalogue/judo-seven-steps-to-black-belt-an-introductory-guide-for-beginners_903/index.html
16,history,,0,36.28,36.28,36.28,books,0,0.0,"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",7392c0032f92d816,https://books.toscrape.com/catalogue/political-suicide-missteps-peccadilloes-bad-calls-backroom-hijinx-sordid-pasts-rotten-breaks-and-just-plain-dumb-mistakes-in-the-annals-of-american-politics_917/index.html
16,sequential art,,0,19.92,19.92,19.92,books,0,0.0,Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),57e5a4d515c8ce44,https://books.toscrape.com/catalogue/lumberjanes-vol-3-a-terrible-plan-lumberjanes-9-12_905/index.html
16,food and drink,,0,14.02,14.02,14.02,books,0,0.0,"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",72f9d5be3472d34e,https://books.toscrape.com/catalogue/mama-tried-traditional-italian-cooking-for-the-screwed-crude-vegan-and-tattooed_908/index.html
16,sequential art,,0,46.91,46.91,46.91,books,0,0.0,"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",460089f796fb3f82,https://books.toscrape.com/catalogue/lumberjanes-vol-2-friendship-to-the-max-lumberjanes-5-8_907/index.html
16,science fiction,,0,35.67,35.67,35.67,books,0,0.0,Join,18ad3ed896c7ce05,https://books.toscrape.com/catalogue/join_902/index.html
16,fantasy,,0,56.4,56.4,56.4,books,0,0.0,Masks and Shadows,fa9610a50a1bf149,https://books.toscrape.com/catalogue/masks-and-shadows_909/index.html
16,food and drink,,0,33.37,33.37,33.37,books,0,0.0,My Paris Kitchen: Recipes and Stories,784bc2279baa878d,https://books.toscrape.com/catalogue/my-paris-kitchen-recipes-and-stories_910/index.html
16,food and drink,,0,40.11,40.11,40.11,books,0,0.0,"Layered: Baking, Building, and Styling Spectacular Cakes",7b75cc7f223791f4,https://books.toscrape.com/catalogue/layered-baking-building-and-styling-spectacular-cakes_904/index.html
16,young adult,,0,14.86,14.86,14.86,books,0,0.0,Obsidian (Lux #1),3c346ab1e76ae1f6,https://books.toscrape.com/catalogue/obsidian-lux-1_911/index.html
16,fantasy,,0,13.34,13.34,13.34,books,0,0.0,Princess Between Worlds (Wide-Awake Princess #5),0e691eda369f4e09,https://books.toscrape.com/catalogue/princess-between-worlds-wide-awake-princess-5_919/index.html
16,sequential art,,0,45.61,45.61,45.61,books,0,0.0,"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",b6ee99bcf06fc91f,https://books.toscrape.com/catalogue/lumberjanes-vol-1-beware-the-kitten-holy-lumberjanes-1-4_906/index.html
16,sequential art,,0,13.61,13.61,13.61,books,0,0.0,"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",0fa6dceead7ce47a,https://books.toscrape.com/catalogue/princess-jellyfish-2-in-1-omnibus-vol-01-princess-jellyfish-2-in-1-omnibus-1_920/index.html
16,religion,,0,37.97,37.97,37.97,books,0,0.0,"Don't Be a Jerk: And Other Practical Advice from Dogen, Japan's Greatest Zen Master",fce19f9b4a943f22,https://books.toscrape.com/catalogue/dont-be-a-jerk-and-other-practical-advice-from-dogen-japans-greatest-zen-master_890/index.html
16,nonfiction,,0,54.35,54.35,54.35,books,0,0.0,Everydata: The Misinformation Hidden in the Little Data You Consume Every Day,311c0dd0e354a33e,https://books.toscrape.com/catalogue/everydata-the-misinformation-hidden-in-the-little-data-you-consume-every-day_891/index.html
16,romance,,0,21.96,21.96,21.96,books,0,0.0,Fifty Shades Darker (Fifty Shades #2),7add3f8e49ec0826,https://books.toscrape.com/catalogue/fifty-shades-darker-fifty-shades-2_892/index.html
16,romance,,0,15.97,15.97,15.97,books,0,0.0,First and First (Five Boroughs #3),9e28048cea8d41f7,https://books.toscrape.com/catalogue/first-and-first-five-boroughs-3_893/index.html
16,historical fiction,,0,29.69,29.69,29.69,books,0,0.0,Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,9beb96a2300109d7,https://books.toscrape.com/catalogue/forever-and-forever-the-courtship-of-henry-longfellow-and-fanny-appleton_894/index.html
16,romance,,0,33.97,33.97,33.97,books,0,0.0,Her Backup Boyfriend (The Sorensen Family #1),2a97cffe61c3c4c7,https://books.toscrape.com/catalogue/her-backup-boyfriend-the-sorensen-family-1_896/index.html
16,sequential art,,0,51.99,51.99,51.99,books,0,0.0,Danganronpa Volume 1,09b6cc87e62c2c58,https://books.toscrape.com/catalogue/danganronpa-volume-1_889/index.html
16,self help,,0,46.03,46.03,46.03,books,0,0.0,How to Be Miserable: 40 Strategies You Already Use,a6f99b9e687f9d46,https://books.toscrape.com/catalogue/how-to-be-miserable-40-strategies-you-already-use_897/index.html
16,default,,0,49.46,49.46,49.46,books,0,0.0,Bossypants,74baabfc8fd84b38,https://books.toscrape.com/catalogue/bossypants_883/index.html
16,fantasy,,0,28.09,28.09,28.09,books,0,0.0,"Avatar: The Last Airbender: Smoke and Shadow, Part 3 (Smoke and Shadow #3)",6d5300b2d8f37e07,https://books.toscrape.com/catalogue/avatar-the-last-airbender-smoke-and-shadow-part-3-smoke-and-shadow-3_881/index.html
16,sequential art,,0,37.92,37.92,37.92,books,0,0.0,"Bitch Planet, Vol. 1: Extraordinary Machine (Bitch Planet (Collected Editions))",bdf415fd484ea8a7,https://books.toscrape.com/catalogue/bitch-planet-vol-1-extraordinary-machine-bitch-planet-collected-editions_882/index.html
16,sequential art,,0,22.11,22.11,22.11,books,0,0.0,"Giant Days, Vol. 2 (Giant Days #5-8)",f2df3bb043a8abb0,https://books.toscrape.com/catalogue/giant-days-vol-2-giant-days-5-8_895/index.html
16,young adult,,0,28.81,28.81,28.81,books,0,0.0,Burning,5ceb951f629700a2,https://books.toscrape.com/catalogue/burning_884/index.html
16,sequential art,,0,36.72,36.72,36.72,books,0,0.0,"Codename Baboushka, Volume 1: The Conclave of Death",8754c83ab2a7ae71,https://books.toscrape.com/catalogue/codename-baboushka-volume-1-the-conclave-of-death_887/index.html
16,sequential art,,0,17.08,17.08,17.08,books,0,0.0,Camp Midnight,7b599c8bfcdd8d30,https://books.toscrape.com/catalogue/camp-midnight_886/index.html
16,fantasy,,0,43.29,43.29,43.29,books,0,0.0,Crown of Midnight (Throne of Glass #2),7267864328ae8b9d,https://books.toscrape.com/catalogue/crown-of-midnight-throne-of-glass-2_888/index.html
16,sequential art,,0,54.63,54.63,54.63,books,0,0.0,I am a Hero Omnibus Volume 1,1c89ae5bb804e4de,https://books.toscrape.com/catalogue/i-am-a-hero-omnibus-volume-1_898/index.html
16,sequential art,,0,29.17,29.17,29.17,books,0,0.0,"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",8d4eefad7a2b3915,https://books.toscrape.com/catalogue/i-hate-fairyland-vol-1-madly-ever-after-i-hate-fairyland-compilations-1-5_899/index.html
16,young adult,,0,28.13,28.13,28.13,books,0,0.0,A Fierce and Subtle Poison,842790dfaa937484,https://books.toscrape.com/catalogue/a-fierce-and-subtle-poison_875/index.html
16,nonfiction,,0,29.14,29.14,29.14,books,0,0.0,Call the Nurse: True Stories of a Country Nurse on a Scottish Isle,bee3672891cca906,https://books.toscrape.com/catalogue/call-the-nurse-true-stories-of-a-country-nurse-on-a-scottish-isle_885/index.html
16,historical fiction,,0,55.53,55.53,55.53,books,0,0.0,A Flight of Arrows (The Pathfinders #2),3a6fb983e2554023,https://books.toscrape.com/catalogue/a-flight-of-arrows-the-pathfinders-2_876/index.html
16,default,,0,56.76,56.76,56.76,books,0,0.0,"A Piece of Sky, a Grain of Rice: A Memoir in Four Meditations",8a380641491d43ed,https://books.toscrape.com/catalogue/a-piece-of-sky-a-grain-of-rice-a-memoir-in-four-meditations_878/index.html
16,mystery,,0,16.64,16.64,16.64,books,0,0.0,A Murder in Time,f733e8c19d40ec2e,https://books.toscrape.com/catalogue/a-murder-in-time_877/index.html
16,default,,0,42.95,42.95,42.95,books,0,0.0,A World of Flavor: Your Gluten Free Passport,70ed59f194b3c556,https://books.toscrape.com/catalogue/a-world-of-flavor-your-gluten-free-passport_879/index.html
16,nonfiction,,0,30.81,30.81,30.81,books,0,0.0,Algorithms to Live By: The Computer Science of Human Decisions,38d45839cb1c83c1,https://books.toscrape.com/catalogue/algorithms-to-live-by-the-computer-science-of-human-decisions_880/index.html
16,science,,0,57.36,57.36,57.36,books,0,0.0,Immunity: How Elie Metchnikoff Changed the Course of Modern Medicine,e4f74c16de34d440,https://books.toscrape.com/catalogue/immunity-how-elie-metchnikoff-changed-the-course-of-modern-medicine_900/index.html
15,business,,0,12.61,12.61,12.61,books,0,0.0,The Third Wave: An Entrepreneur’s Vision of the Future,3bebf34ee9330cbd,https://books.toscrape.com/catalogue/the-third-wave-an-entrepreneurs-vision-of-the-future_862/index.html
15,fiction,,0,42.15,42.15,42.15,books,0,0.0,The Vacationers,fd3a622648667296,https://books.toscrape.com/catalogue/the-vacationers_863/index.html
15,romance,,0,24.12,24.12,24.12,books,0,0.0,The Wedding Dress,623e1a180426039b,https://books.toscrape.com/catalogue/the-wedding-dress_864/index.html
